sku,location,period,demand
A100,TOR,2026-06-01,102
A100,TOR,2026-06-02,98
A100,TOR,2026-06-03,110
A100,TOR,2026-06-04,105
A100,TOR,2026-06-05,119
A100,TOR,2026-06-06,112
C310,VAN,2026-W21,42
C310,VAN,2026-W22,44
C310,VAN,2026-W23,40
C310,VAN,2026-W24,43
C310,VAN,2026-W25,41
C310,VAN,2026-W26,45
D440,MTL,2026-W01,0
D440,MTL,2026-W02,0
D440,MTL,2026-W03,18
D440,MTL,2026-W04,0
D440,MTL,2026-W05,0
D440,MTL,2026-W06,0
D440,MTL,2026-W07,22
D440,MTL,2026-W08,0
F660,TOR,2026-W21,0
F660,TOR,2026-W22,0
F660,TOR,2026-W23,5
F660,TOR,2026-W24,12
F660,TOR,2026-W25,24
F660,TOR,2026-W26,41
